entry_date,exit_date,buy_pair,sell_pair,entry_buy_price,exit_buy_price,entry_sell_price,exit_sell_price,buy_size,sell_size,buy_profit_pct,sell_profit_pct,total_profit_pct,buy_spread_cost_pct,sell_spread_cost_pct,buy_swap_cost_pct,sell_swap_cost_pct,total_cost_pct,net_profit_pct,duration_days,year
2020-01-05,2020-01-08,GBPUSD,EURUSD,1.30768,1.31051,1.11604,1.11129,1.0,1.3,0.21641380154167,0.5532955808035592,0.7697093823452292,0.009176556955830173,0.011648328016916957,-1.5650429328778855e-05,1.3992722802197399e-05,0.020823227266220545,0.7488861550790087,3,2020
2020-01-10,2020-01-22,GBPUSD,EURUSD,1.30569,1.31435,1.11165,1.10957,1.0,1.3,0.6632508482105163,0.24324202761661554,0.9064928758271318,0.009190542931323667,0.011694328250798363,-6.269712849039981e-05,5.6191924998567466e-05,0.0208783659786302,0.8856145098485015,12,2020
2020-01-13,2020-01-16,GBPUSD,EURUSD,1.29859,1.3076,1.11344,1.11368,1.0,1.3,0.6938294611848378,-0.028021267423482488,0.6658081937613554,0.009240791935868905,0.011675528093116828,-1.5759980767338067e-05,1.4025397287832642e-05,0.02091458544550623,0.6448936083158492,3,2020
2020-01-14,2020-03-01,EURUSD,GBPUSD,1.11275,1.10515,1.30211,1.28038,1.3,1.0,-0.8878903617164484,1.66882982236524,0.7809394606487916,0.011682767917321951,0.00921581126018539,-0.0007637501808120694,-0.0004736884906405335,0.01966114050605474,0.7612783201427369,47,2020
2020-01-16,2020-02-28,EURUSD,GBPUSD,1.11368,1.10251,1.3076,1.28125,1.3,1.0,-1.3038754399827484,2.015142245334972,0.7112668053522235,0.011673011996264637,0.009177118384827163,-0.0006981666605985047,-0.0004315550396627513,0.019720408680830543,0.691546396671393,43,2020
2020-01-19,2020-01-22,GBPUSD,EURUSD,1.30051,1.31435,1.10946,1.10957,1.0,1.3,1.0641978915963624,-0.012889153281783108,1.0513087383145792,0.009227149349101505,0.011717412074342473,-1.573671361593339e-05,1.4075711027134267e-05,0.020942900420855178,1.030365837893724,3,2020
2020-01-20,2020-01-22,GBPUSD,EURUSD,1.30035,1.31435,1.10962,1.10957,1.0,1.3,1.076633214134657,0.0058578612498095895,1.0824910753844668,0.009228284692582765,0.011715722499594456,-1.0492433280607804e-05,9.38245426732538e-06,0.020942897213163936,1.0615481781713028,2,2020
2020-01-21,2020-02-28,EURUSD,GBPUSD,1.10851,1.10251,1.30451,1.28125,1.3,1.0,-0.7036472381845909,1.783044974741478,1.0793977365568872,0.011727453969743168,0.009198856275536406,-0.000619862055977152,-0.0003822775843089354,0.019924170604993487,1.0594735659518937,38,2020
2020-01-26,2020-02-12,GBPUSD,EURUSD,1.30606,1.29573,1.10245,1.08756,1.0,1.3,-0.7909284412660943,1.7558165903215386,0.9648881490554443,0.009187939298347702,0.011791918000816365,-8.879576952033293e-05,8.026953665466144e-05,0.020971331066298393,0.943916817989146,17,2020
2020-01-28,2020-01-31,GBPUSD,EURUSD,1.30231,1.32014,1.1022,1.10944,1.0,1.3,1.3691056660856487,-0.8539285066231072,0.5151771594625415,0.009214395957951638,0.011794592632915987,-1.5714962969383276e-05,1.416842529138485e-05,0.021007442053189627,0.4941697174093519,3,2020
2020-02-04,2020-02-27,EURUSD,GBPUSD,1.10446,1.09963,1.30302,1.2887,1.3,1.0,-0.5685131195335148,1.0989854338383225,0.5304723143048077,0.011770457961356682,0.009209375143896486,-0.00037655543067101024,-0.00023164311863083927,0.02037163455595132,0.5101006797488563,23,2020
2020-02-10,2020-02-27,EURUSD,GBPUSD,1.09101,1.09963,1.29154,1.2887,1.3,1.0,1.0271216579133182,0.2198925313966237,1.247014189309942,0.011915564476952547,0.009291233720984251,-0.0002817547596025449,-0.00017273633833327572,0.020752307100000977,1.2262618822099411,17,2020
2020-02-12,2020-02-26,EURUSD,GBPUSD,1.08756,1.08864,1.29573,1.29054,1.3,1.0,0.12909632571995666,0.4005464101317425,0.5296427358516992,0.011953363492588916,0.009261188673566251,-0.00023276939656801169,-0.00014179345033090248,0.020839989319256253,0.508802746532443,14,2020
2020-02-13,2020-02-19,EURUSD,GBPUSD,1.08413,1.08096,1.30447,1.29255,1.3,1.0,-0.3801204652578706,0.9137810758392244,0.5336606105813538,0.011991181869333015,0.009199138347374795,-0.00010007393087999731,-6.036146943003462e-05,0.021029884816397778,0.512630725764956,6,2020
2020-02-14,2020-02-19,EURUSD,GBPUSD,1.08299,1.08096,1.30455,1.29255,1.3,1.0,-0.24367722693653399,0.9198574220995754,0.6761801951630415,0.012003804282588022,0.009198574220995744,-8.348272736046465e-05,-5.029813986138083e-05,0.02106859763636192,0.6551115975266796,5,2020
2020-02-19,2022-03-04,GBPUSD,EURUSD,1.29255,1.32249,1.08096,1.09311,1.0,1.3,2.316351398398503,-1.4612011545293202,0.8551502438691829,0.009283973540675406,0.0120263469508585,-0.003926739274546493,0.003582812233874304,0.020966393450861716,0.8341838504183212,744,2020
2020-02-24,2022-03-03,GBPUSD,EURUSD,1.29239,1.335,1.08485,1.10656,1.0,1.3,3.2969923939368178,-2.601557819053313,0.6954345748835049,0.009285122911814544,0.011983223487118035,-0.003895554238632111,0.0035411751261616243,0.020913967286462092,0.6745206075970428,738,2020
2020-02-26,2022-01-27,GBPUSD,EURUSD,1.29054,1.33872,1.08864,1.11445,1.0,1.3,3.7333209354223724,-3.0821024397413153,0.6512184956810572,0.009298433214003438,0.011941504997060553,-0.0037055530115778237,0.0033519263446965116,0.02088631154418268,0.6303321841368745,701,2020
