entry_date,exit_date,buy_pair,sell_pair,entry_buy_price,exit_buy_price,entry_sell_price,exit_sell_price,buy_size,sell_size,buy_profit_pct,sell_profit_pct,total_profit_pct,buy_spread_cost_pct,sell_spread_cost_pct,buy_swap_cost_pct,sell_swap_cost_pct,total_cost_pct,net_profit_pct,duration_days,year
2020-01-14,2021-03-12,AUDUSD,AUDCAD,0.68944,0.77576,0.90092,0.96782,1.0,1.5,12.520306335576691,-11.138613861386133,1.381692474190558,0.01740543049431422,0.03329929405496604,-0.006387554560858603,-0.01157720661801422,0.03273996337040744,1.3489525108201506,423,2020
2020-01-15,2020-01-22,AUDCAD,AUDUSD,0.90068,0.89904,0.69069,0.6841,1.5,1.0,-0.2731269707332381,0.9541183454226909,0.6809913746894528,0.03330816716258827,0.017373930417408676,-0.0001405330888503724,-8.413266304868447e-05,0.05045743182809789,0.6305339428613549,7,2020
2020-01-22,2020-02-21,AUDUSD,AUDCAD,0.6841,0.66241,0.89904,0.87593,1.0,1.5,-3.1705890951615237,3.8557794981313345,0.6851904029698108,0.017541295132290597,0.033368926855312335,-0.0004565542568678375,-0.0008227954567063316,0.049630872274028764,0.6355595306957821,30,2020
2020-01-23,2020-02-03,AUDCAD,AUDUSD,0.89897,0.88935,0.68482,0.66893,1.5,1.0,-1.6051703616361066,2.3203177477293244,0.7151473860932178,0.0333715251899396,0.017522852720422883,-0.00022125778345110633,-0.00013334170803006728,0.05053977841888131,0.6646076076743365,11,2020
2020-01-28,2020-02-03,AUDCAD,AUDUSD,0.89033,0.88935,0.67636,0.66893,1.5,1.0,-0.16510731975783938,1.0985274114376866,0.9334200916798472,0.03369537137915155,0.017742030871133713,-0.00012185723348076725,-7.364158019114405e-05,0.051241903436613355,0.8821781882432338,6,2020
2020-01-29,2020-02-21,AUDUSD,AUDCAD,0.6753,0.66241,0.89126,0.87593,1.0,1.5,-1.9087812823930042,2.580055202746684,0.6712739203536799,0.01776988005330964,0.03366021138612751,-0.0003545861910180964,-0.0006363163248336432,0.05043918892358541,0.6208347314300945,23,2020
2020-02-03,2020-02-17,AUDUSD,AUDCAD,0.66893,0.67092,0.88935,0.88811,1.0,1.5,0.2974900213774141,0.20914150784280974,0.5066315292202238,0.017939096766477806,0.0337325012649688,-0.00021789039908141992,-0.0003881548090763533,0.05106555282328883,0.45556597639693497,14,2020
2020-02-09,2020-02-17,AUDUSD,AUDCAD,0.66696,0.67092,0.88783,0.88811,1.0,1.5,0.5937387549478176,-0.04730635369382883,0.5464324012539887,0.017992083483267363,0.03379025263845556,-0.00012487656116240363,-0.00022218248310217352,0.05143527707745835,0.4949971241765304,8,2020
2020-02-21,2020-02-24,AUDCAD,AUDUSD,0.87593,0.87831,0.66241,0.66103,1.5,1.0,0.40756681469981315,0.20833018825199617,0.6158970029518094,0.03424931215964746,0.01811566854365121,-6.193026308319814e-05,-3.759621622415286e-05,0.052265454223991314,0.5636315487278181,3,2020
2020-03-02,2020-03-03,AUDCAD,AUDUSD,0.87255,0.88053,0.65487,0.65826,1.5,1.0,1.3718411552346548,-0.517659993586514,0.8541811616481407,0.03438198384046759,0.018324247560584546,-2.072338752028184e-05,-1.2676363038486568e-05,0.052672831650493364,0.8015083299976473,1,2020
2020-03-08,2020-03-13,AUDUSD,AUDCAD,0.66121,0.61835,0.90082,0.85361,1.0,1.5,-6.482055625293024,7.861170933149792,1.3791153078567673,0.018148545847763948,0.033302990608556654,-7.872656874600799e-05,-0.00013686160524064374,0.051235948282333944,1.3278793595744334,5,2020
2020-03-09,2020-03-13,AUDUSD,AUDCAD,0.65969,0.61835,0.90121,0.85361,1.0,1.5,-6.266579757158672,7.922681727899153,1.6561019707404814,0.018190362139792932,0.033288578688651926,-6.312637089608506e-05,-0.00010944190253803373,0.051306372555010735,1.6047955981854707,4,2020
2020-03-11,2020-03-13,AUDUSD,AUDCAD,0.64764,0.61835,0.892,0.85361,1.0,1.5,-4.522574269655988,6.455717488789244,1.9331432191332558,0.01852881230313137,0.033632286995515695,-3.215045057164347e-05,-5.5285951225505254e-05,0.05207366289684992,1.881069556236406,2,2020
2020-03-16,2020-08-12,AUDUSD,AUDCAD,0.61012,0.71639,0.85488,0.94869,1.0,1.5,17.41788500622828,-16.460204941044367,0.9576800651839115,0.019668261981249588,0.03509264458169568,-0.0025425045510921273,-0.004297647158361087,0.04792075485349205,0.9097593103304195,149,2020
2020-03-20,2020-03-22,AUDCAD,AUDUSD,0.83077,0.83185,0.57978,0.5752,1.5,1.0,0.19499981944460615,0.7899548104453271,0.9849546298899332,0.03611107767492808,0.02069750595053296,-4.353116212868042e-05,-2.8636275356216837e-05,0.05673641618797614,0.9282182137019571,2,2020
2020-03-22,2020-03-25,AUDUSD,AUDCAD,0.5752,0.59012,0.83185,0.83918,1.0,1.5,2.593880389429752,-1.321752719841328,1.272127669588424,0.020862308762169678,0.03606419426579312,-5.429915979194847e-05,-8.892541051839397e-05,0.05678327845765245,1.2153443911307715,3,2020
2020-03-30,2020-03-31,AUDUSD,AUDCAD,0.61642,0.61375,0.87403,0.86392,1.0,1.5,-0.4331462314655511,1.7350663020720032,1.3019200706064522,0.01946724635800266,0.034323764630504676,-1.688939181744523e-05,-2.8211313394935347e-05,0.05374591028329495,1.2481741603231573,1,2020
