entry_date,exit_date,buy_pair,sell_pair,entry_buy_price,exit_buy_price,entry_sell_price,exit_sell_price,buy_size,sell_size,buy_profit_pct,sell_profit_pct,total_profit_pct,buy_spread_cost_pct,sell_spread_cost_pct,buy_swap_cost_pct,sell_swap_cost_pct,total_cost_pct,net_profit_pct,duration_days,year
2020-01-05,2020-02-16,AUDUSD,EURUSD,0.69432,0.67252,1.11604,1.08411,1.0,1.3,-3.139762645466073,3.7193111358015862,0.579548490335513,0.017283097131005874,0.011648328016916957,-0.0006297676488832278,0.00019589811923076357,0.028497555618270366,0.5510509347172426,42,2020
2020-01-06,2020-02-13,AUDUSD,EURUSD,0.69364,0.67186,1.11954,1.08413,1.0,1.3,-3.1399573265670986,4.111778051699798,0.9718207251326998,0.017300040366760853,0.011611912035300213,-0.0005703483627763168,0.00017668704930425192,0.028518291088589002,0.9433024340441107,38,2020
2020-01-08,2020-01-27,EURUSD,AUDUSD,1.11129,1.10193,0.68749,0.67614,1.3,1.0,-1.0949437140620144,1.6509331044815316,0.5559893904195172,0.011698116603226883,0.01745479934253589,-0.0003091557053834881,-0.00022942301327620802,0.028614337227103076,0.5273750531924142,19,2020
2020-01-12,2020-01-22,EURUSD,AUDUSD,1.11161,1.10957,0.68996,0.6841,1.3,1.0,-0.2385728807765362,0.8493245985274475,0.6107517177509112,0.011694749057673105,0.017392312597831756,-0.00016266668868417808,-0.00012031668303979504,0.02880407828378089,0.5819476394671304,10,2020
2020-01-13,2020-02-13,AUDUSD,EURUSD,0.6897,0.67186,1.11344,1.08413,1.0,1.3,-2.586631868928515,3.422097284092536,0.8354654151640211,0.01739886907351022,0.011675528093116828,-0.0004679421864976037,0.00014492910530760402,0.028751384085437048,0.806714031078584,31,2020
2020-01-20,2020-02-13,AUDUSD,EURUSD,0.68752,0.67186,1.10962,1.08413,1.0,1.3,-2.277751919944148,2.9863376651466282,0.7085857452024804,0.01745403770072143,0.011715722499594456,-0.0003634265384259805,0.00011258945120790454,0.028918923113097808,0.6796668220893826,24,2020
2020-01-22,2020-01-23,AUDUSD,EURUSD,0.6841,0.68482,1.10957,1.10554,1.0,1.3,0.10524777079373526,0.47216489270618095,0.5774126634999162,0.017541295132290597,0.011716250439359394,-1.5218475228927918e-05,4.691438532093329e-06,0.029247018534953154,0.548165644964963,1,2020
2020-01-23,2020-01-27,EURUSD,AUDUSD,1.10554,1.10193,0.68482,0.67614,1.3,1.0,-0.4244984351538487,1.2674863467772584,0.8429879116234096,0.01175895942254464,0.017522852720422883,-6.542392597580157e-05,-4.8487893829115376e-05,0.029167900323162608,0.813820011300247,4,2020
2020-01-26,2020-02-13,AUDUSD,EURUSD,0.68009,0.67186,1.10245,1.08413,1.0,1.3,-1.2101339528591746,2.160279377749545,0.9501454248903705,0.017644723492478934,0.011791918000816365,-0.0002755477367318628,8.499127410493563e-05,0.029246085030668372,0.9208993398597021,18,2020
2020-01-30,2020-02-05,AUDUSD,EURUSD,0.67052,0.67511,1.10285,1.10003,1.0,1.3,0.6845433394977007,0.33241147934896476,1.0169548188466655,0.01789655789536479,0.01178764111166523,-9.316016438683041e-05,2.8320149351524464e-05,0.029619358991994714,0.9873354598546707,6,2020
2020-01-31,2020-02-04,AUDUSD,EURUSD,0.6685,0.67307,1.10944,1.10446,1.0,1.3,0.6836200448765839,0.5835376406114778,1.2671576854880617,0.01795063575168287,0.0117176233054514,-6.229444370447024e-05,1.87679530287525e-05,0.029624732566458555,1.2375329529216033,4,2020
2020-04-06,2020-04-07,EURUSD,AUDUSD,1.07988,1.08935,0.61163,0.61514,1.3,1.0,1.1400340778605138,-0.5738763631607365,0.5661577146997773,0.012038374634218618,0.01961970472344391,-1.674463068194792e-05,-1.3572535459368732e-05,0.03162776219152121,0.5345299525082561,1,2020
2020-04-08,2025-04-03,EURUSD,AUDUSD,1.08599,1.1045,0.62326,0.63253,1.3,1.0,2.2157662593578245,-1.4873407566665597,0.7284255026912647,0.011970644296908813,0.019253602028046077,-0.03032041845033261,-0.024254395469864815,-0.023350567595242535,0.7517760702865073,1821,2020
2020-04-13,2020-04-15,EURUSD,AUDUSD,1.09198,1.09037,0.63987,0.6308,1.3,1.0,-0.1916701771094577,1.4174754246956447,1.225805247586187,0.011904979944687633,0.01875380936752778,-3.3118173924104696e-05,-2.5947051316716512e-05,0.030599724086974592,1.1952055234992123,2,2020
2020-04-16,2020-04-21,EURUSD,AUDUSD,1.08584,1.08563,0.63589,0.6292,1.3,1.0,-0.025141825683320553,1.0520687540297808,1.0269269283464604,0.011972297944448538,0.018871188413090313,-8.326361057256098e-05,-6.527363115486719e-05,0.030694949115811422,0.996231979230649,5,2020
2020-04-22,2020-05-03,EURUSD,AUDUSD,1.08062,1.09608,0.62963,0.6376,1.3,1.0,1.8598582295349004,-1.265822784810114,0.5940354447247864,0.01203013085080787,0.01905881231834569,-0.00018406480500919947,-0.00014502972935398676,0.030759848634790372,0.563275596089996,11,2020
2020-04-23,2020-05-01,EURUSD,AUDUSD,1.07743,1.09777,0.63756,0.64149,1.3,1.0,2.4541733569698025,-0.6164125729343104,1.8377607840354921,0.012065749050982429,0.018821757952192732,-0.0001342616543502365,-0.00010416424948884746,0.03064908109933608,1.807111702936156,8,2020
2020-04-30,2020-05-07,AUDUSD,EURUSD,0.64941,0.65002,1.09448,1.08361,1.0,1.3,0.09393141466869918,1.2911154155397921,1.3850468302084913,0.01847831108236707,0.0118777867114977,-0.0001122198800892612,3.329284789524118e-05,0.03027717076167075,1.3547696594468206,7,2020
